name,job_title,industry,ai_replacement_risk,salary,years_of_experience,city,ai_tool_threat,salary_group,experience_level,work_type
Paul Edwards,Data Analyst,Healthcare,4,119261,27,Austin,Github Copilot,High,Veteran,In-Office
Stephen Owens,Marketing Manager,Media & Marketing,5,175689,13,San Francisco,Scribe AI,Very High,Senior,In-Office
James Meyer,Copywriter,Tech,2,85007,25,Austin,Writer.com,Medium,Veteran,In-Office
Joseph Marquez,Doctor,Healthcare,2,46017,22,San Francisco,Claude,Low,Senior,In-Office
Mark Owens,Financial Analyst,Finance,1,127452,18,New York,ChatGPT,High,Senior,In-Office
Mark Morris,Nurse,Healthcare,1,65400,16,San Francisco,Claude,Medium,Senior,In-Office
Martha Ortiz,Financial Analyst,Finance,2,189603,18,Boston,Perplexity AI,Very High,Senior,In-Office
Alexander Brown,Teacher,Education,2,102422,28,Seattle,Claude,High,Veteran,In-Office
Tina Gonzalez,Customer Support Agent,Finance,2,149213,34,Chicago,Perplexity AI,High,Veteran,In-Office
Theresa Lutz,HR Manager,Human Resources,4,169617,19,Austin,ChatGPT,Very High,Senior,In-Office
Cameron Butler,Doctor,Healthcare,3,141645,6,San Francisco,Claude,High,Mid,In-Office
Larry Reed,Customer Support Agent,Healthcare,5,148624,24,Austin,ChatGPT,High,Senior,In-Office
Martin Frye,Marketing Manager,Media & Marketing,2,142108,9,Chicago,Writer.com,High,Mid,In-Office
Mr. Keith Weber Jr.,Customer Support Agent,Tech,2,91717,10,Austin,ChatGPT,Medium,Senior,In-Office
Vanessa Alvarez,Technical Recruiter,Tech,1,165164,11,New York,Scribe AI,Very High,Senior,In-Office
Melissa Stevenson,Radiologist,Healthcare,4,116068,29,Boston,MedpaLM,High,Veteran,In-Office
Scott Smith,Technical Recruiter,Human Resources,3,116707,4,San Francisco,Scribe AI,High,Mid,In-Office
Claire Cross,Nurse,Healthcare,4,157805,24,Austin,MedpaLM,Very High,Senior,In-Office
David Watson,Technical Recruiter,Healthcare,4,77252,16,San Francisco,ChatGPT,Medium,Senior,In-Office
Katherine Norris,HR Manager,Human Resources,3,192811,18,New York,ChatGPT,Very High,Senior,In-Office
Anthony Mitchell,HR Manager,Human Resources,3,114069,2,Austin,Scribe AI,High,Entry,In-Office
Jamie Jackson,Data Analyst,Media & Marketing,3,173776,23,New York,ChatGPT,Very High,Senior,In-Office
Alexander Santos,Data Analyst,Healthcare,3,41735,18,New York,Claude,Low,Senior,In-Office
Sandra Campbell,Doctor,Healthcare,1,52429,27,San Francisco,Claude,Low,Veteran,In-Office
Michael Hudson Jr.,Lawyer,Legal,5,73001,22,Austin,Harvey,Medium,Senior,In-Office
Scott Knight,Copywriter,Media & Marketing,1,113979,15,Austin,Writer.com,High,Senior,In-Office
Tanya Pennington,Radiologist,Healthcare,5,91045,16,Boston,Claude,Medium,Senior,In-Office
Brittany Berg,HR Manager,Human Resources,5,57962,10,Austin,Scribe AI,Low,Senior,In-Office
Sean Ibarra,HR Manager,Human Resources,1,77727,31,Boston,Writer.com,Medium,Veteran,In-Office
Andrea Allen,Marketing Manager,Media & Marketing,5,46129,0,Chicago,Writer.com,Low,Entry,In-Office
Walter Butler MD,Paralegal,Legal,1,149449,18,New York,Claude,High,Senior,In-Office
Kyle Fisher,Nurse,Healthcare,2,127290,34,Boston,Claude,High,Veteran,In-Office
Rebekah Campos DVM,Data Analyst,Finance,3,199994,34,San Francisco,Claude,Very High,Veteran,In-Office
Joseph Bennett,Financial Analyst,Finance,5,189922,19,San Francisco,Perplexity AI,Very High,Senior,In-Office
Robert Hobbs,Marketing Manager,Media & Marketing,1,59414,4,Boston,ChatGPT,Low,Mid,In-Office
Gary Friedman,Marketing Manager,Media & Marketing,2,179368,26,Austin,Scribe AI,Very High,Veteran,In-Office
Monica Peterson,Paralegal,Legal,4,191014,23,Boston,DoNotPay,Very High,Senior,In-Office
Teresa Wood,Paralegal,Legal,4,145632,15,New York,Claude,High,Senior,In-Office
