Name,Job_Title,Industry,AI_Replacement_Risk,Salary,Years_of_Experience,City,AI_Tool_Threat
Paul Edwards,Data Analyst,Healthcare,4,119261,27,Austin,Github Copilot
Stephen Owens,Marketing Manager,Media & Marketing,5,175689,13,San Francisco,Scribe AI
James Meyer,Copywriter,Tech,2,85007,25,Austin,Writer.com
Joseph Marquez,Doctor,Healthcare,2,46017,22,San Francisco,Claude
Mark Owens,Financial Analyst,Finance,1,127452,18,New York,ChatGPT
Mark Morris,Nurse,Healthcare,1,65400,16,San Francisco,Claude
Martha Ortiz,Financial Analyst,Finance,2,189603,18,Boston,Perplexity AI
Alexander Brown,Teacher,Education,2,102422,28,Seattle,Claude
Tina Gonzalez,Customer Support Agent,Finance,2,149213,34,Chicago,Perplexity AI
Theresa Lutz,HR Manager,Human Resources,4,169617,19,Austin,ChatGPT
Cameron Butler,Doctor,Healthcare,3,141645,6,San Francisco,Claude
Larry Reed,Customer Support Agent,Healthcare,5,148624,24,Austin,ChatGPT
Martin Frye,Marketing Manager,Media & Marketing,2,142108,9,Chicago,Writer.com
Mr. Keith Weber Jr.,Customer Support Agent,Tech,2,91717,10,Austin,ChatGPT
Todd Casey,Financial Analyst,Healthcare,3,132261,10,Austin,None
Vanessa Alvarez,Technical Recruiter,Tech,1,165164,11,New York,Scribe AI
Melissa Stevenson,Radiologist,Healthcare,4,116068,29,Boston,MedpaLM
Scott Smith,Technical Recruiter,Human Resources,3,116707,4,San Francisco,Scribe AI
Claire Cross,Nurse,Healthcare,4,157805,24,Austin,MedpaLM
David Watson,Technical Recruiter,Healthcare,4,77252,16,San Francisco,ChatGPT
Katherine Norris,HR Manager,Human Resources,3,192811,18,New York,ChatGPT
Anthony Mitchell,HR Manager,Human Resources,3,114069,2,Austin,Scribe AI
Jamie Jackson,Data Analyst,Media & Marketing,3,173776,23,New York,ChatGPT
Alexander Santos,Data Analyst,Healthcare,3,41735,18,New York,Claude
Sandra Campbell,Doctor,Healthcare,1,52429,27,San Francisco,Claude
Michael Hudson Jr.,Lawyer,Legal,5,73001,22,Austin,Harvey
Scott Knight,Copywriter,Media & Marketing,1,113979,15,Austin,Writer.com
Tanya Pennington,Radiologist,Healthcare,5,91045,16,Boston,Claude
Brittany Berg,HR Manager,Human Resources,5,57962,10,Austin,Scribe AI
Sean Ibarra,HR Manager,Human Resources,1,77727,31,Boston,Writer.com
Andrea Allen,Marketing Manager,Media & Marketing,5,46129,0,Chicago,Writer.com
Walter Butler MD,Paralegal,Legal,1,149449,18,New York,Claude
Kyle Fisher,Nurse,Healthcare,2,127290,34,Boston,Claude
Rebekah Campos DVM,Data Analyst,Finance,3,199994,34,San Francisco,Claude
Joseph Bennett,Financial Analyst,Finance,5,189922,19,San Francisco,Perplexity AI
Robert Hobbs,Marketing Manager,Media & Marketing,1,59414,4,Boston,ChatGPT
Gary Friedman,Marketing Manager,Media & Marketing,2,179368,26,Austin,Scribe AI
Monica Peterson,Paralegal,Legal,4,191014,23,Boston,DoNotPay
Teresa Wood,Paralegal,Legal,4,145632,15,New York,Claude
William Valdez,Teacher,Education,3,59018,8,Boston,Google Gemini
Christine Watts,Data Analyst,Media & Marketing,5,66471,22,Boston,Claude
Nicole Newman,Nurse,Healthcare,2,110649,30,Boston,MedpaLM
Bruce May,Radiologist,Healthcare,5,81981,5,Boston,MedpaLM
Mark Smith,Doctor,Healthcare,5,42724,10,Austin,Claude
Alex Pham,Technical Recruiter,Human Resources,1,53099,6,Remote,ChatGPT
Angelica Johnson,Data Analyst,Finance,5,85981,23,San Francisco,Github Copilot
Sara Hall,Lawyer,Legal,4,136239,7,San Francisco,DoNotPay
Todd Collins,Paralegal,Legal,3,69607,22,Boston,DoNotPay
Stephen Young,Nurse,Healthcare,4,131784,28,Chicago,Claude
Christopher Tapia,Software Engineer,Tech,5,81798,12,San Francisco,Claude
Patricia Carroll,Nurse,Healthcare,2,123940,14,Boston,Claude
Erica Bauer,Technical Recruiter,Media & Marketing,5,106724,11,Chicago,Scribe AI
Samuel Young,Paralegal,Legal,4,130936,8,Remote,DoNotPay
Taylor Lucas,Paralegal,Legal,4,113709,12,Remote,Claude
Randy Gilbert,Data Analyst,Tech,4,147872,29,New York,Claude
Daniel Johnson,Copywriter,Tech,3,104898,30,Seattle,Writer.com
Robert Cabrera DDS,Software Engineer,Tech,2,107373,8,Austin,Github Copilot
Scott Scott,Lawyer,Legal,2,108364,35,Remote,Claude
Beverly Powell,Marketing Manager,Media & Marketing,2,98780,19,Chicago,ChatGPT
Alexis Torres,HR Manager,Human Resources,4,93939,14,Remote,ChatGPT
Stephen Morales,HR Manager,Human Resources,1,141182,13,Chicago,Writer.com
Daniel Walker,HR Manager,Human Resources,2,170851,4,Remote,Scribe AI
David Phillips,Nurse,Healthcare,1,122897,7,Seattle,Claude
Ian Knight,Copywriter,Media & Marketing,5,155464,34,Austin,ChatGPT
Ryan Harris,Radiologist,Healthcare,3,185750,10,Austin,MedpaLM
Stephanie Rubio,Marketing Manager,Media & Marketing,5,149036,1,Remote,Scribe AI
Nathan Carlson,Paralegal,Legal,2,170472,21,San Francisco,Harvey
Anthony Webb,HR Manager,Human Resources,4,46254,13,San Francisco,Scribe AI
Keith Clark,Nurse,Healthcare,2,178237,9,New York,MedpaLM
James Savage,Software Engineer,Tech,3,160396,21,New York,Github Copilot
Janice Flores,Technical Recruiter,Finance,5,167446,19,Chicago,None
Melvin Ford,Financial Analyst,Finance,2,190047,19,Chicago,None
Paul Harper,Teacher,Education,3,103168,13,Seattle,Google Gemini
Blake Hill,HR Manager,Human Resources,4,142244,0,Chicago,ChatGPT
Kevin King,Financial Analyst,Healthcare,5,187365,2,Austin,ChatGPT
Maria Contreras,Teacher,Education,3,125628,10,New York,ChatGPT
David Perry,Copywriter,Media & Marketing,1,86805,24,Boston,ChatGPT
Sarah Fox,Lawyer,Legal,4,92801,8,San Francisco,DoNotPay
Jennifer Taylor,Radiologist,Healthcare,4,157105,10,Seattle,MedpaLM
Jo Miranda,Paralegal,Legal,2,177521,10,Remote,Harvey
Michael Flynn,Teacher,Education,1,87708,15,Boston,Claude
