Name,Job_Title,Industry,AI_Replacement_Risk,Salary,Years_of_Experience,City,AI_Tool_Threat
Sarah Morales,Technical Recruiter,Human Resources,2,60691,35,Seattle,ChatGPT
Raymond Bass,Doctor,Healthcare,1,90537,11,Seattle,Claude
Joshua Campbell,Marketing Manager,Finance,2,141838,24,Boston,Writer.com
Christopher Vaughn,HR Manager,Tech,4,59677,26,Seattle,ChatGPT
Larry Davis,Financial Analyst,Media & Marketing,1,81032,21,San Francisco,None
Jeffrey Cooke,Technical Recruiter,Tech,2,96712,8,Boston,Scribe AI
Kevin Holmes,Lawyer,Healthcare,2,191438,9,Austin,Harvey
Teresa Howard,Copywriter,Healthcare,2,116066,8,Chicago,ChatGPT
Jason Williams,Software Engineer,Healthcare,4,143839,27,Remote,Github Copilot
Patricia Jimenez,Paralegal,Legal,1,69589,8,New York,Harvey
Jonathan Perez,Copywriter,Legal,5,46262,22,San Francisco,ChatGPT
Tracy Chavez,Teacher,Healthcare,5,170350,21,Remote,ChatGPT
Elizabeth Phillips,Financial Analyst,Human Resources,5,190568,3,San Francisco,Perplexity AI
Scott Williams,Marketing Manager,Tech,3,104363,35,Austin,Scribe AI
Michael Jones,Nurse,Tech,4,50112,6,Seattle,MedpaLM
Richard Morgan,HR Manager,Media & Marketing,2,149121,7,San Francisco,Writer.com
Melissa Hill,Financial Analyst,Media & Marketing,4,150716,29,Seattle,None
Margaret Davis,Data Analyst,Education,2,101101,4,San Francisco,Claude
Kenneth Alexander,Paralegal,Media & Marketing,4,67723,18,San Francisco,DoNotPay
Jesus Bailey,Financial Analyst,Tech,3,145930,24,Seattle,ChatGPT
Tracy Taylor,Nurse,Finance,5,177591,12,Chicago,MedpaLM
Ronnie Clark,HR Manager,Finance,1,74160,33,Boston,Writer.com
Brett Lopez,Paralegal,Education,3,173625,6,Boston,DoNotPay
Dylan Ryan,Nurse,Human Resources,2,175442,4,Austin,Claude
Joseph Barnes,Paralegal,Media & Marketing,1,179085,16,Chicago,Claude
Jonathan Ward,Customer Support Agent,Healthcare,4,133307,24,Chicago,None
Shaun Nichols,Customer Support Agent,Media & Marketing,2,140473,8,San Francisco,Perplexity AI
Jeremy Rangel,Doctor,Healthcare,5,76627,17,Remote,Claude
Kim Jordan,Teacher,Healthcare,1,65014,29,Boston,Claude
Jack Johnson,Nurse,Healthcare,4,101697,34,Boston,MedpaLM
Mary Hicks,Radiologist,Media & Marketing,1,155837,19,Seattle,Claude
Roger Garcia,Nurse,Legal,1,121982,31,Remote,Claude
Jerry Whitaker,Doctor,Finance,3,41367,10,San Francisco,Claude
Jason Reed,HR Manager,Healthcare,2,192236,5,Chicago,Writer.com
James Munoz,Doctor,Human Resources,3,73410,14,Boston,MedpaLM
Olivia Mercer,Teacher,Finance,2,47190,26,San Francisco,ChatGPT
Mr. Brian Wood IV,Customer Support Agent,Legal,2,128810,17,Remote,ChatGPT
Sean Marshall,HR Manager,Legal,4,194873,17,Boston,Writer.com
David Wilson,Doctor,Legal,3,185575,30,Chicago,MedpaLM
Michael Whitehead,Software Engineer,Human Resources,2,58172,10,Chicago,ChatGPT
Shelley Wilson,Radiologist,Finance,3,139050,19,New York,Claude
Shelby Jennings,HR Manager,Finance,2,100647,25,Remote,Scribe AI
Anthony Perez,Teacher,Human Resources,1,160300,6,Austin,ChatGPT
Dylan Collins,Paralegal,Education,3,42244,35,New York,Claude
Bradley Davidson,Paralegal,Legal,2,152024,11,Chicago,DoNotPay
Kevin Hanson,Data Analyst,Healthcare,4,108259,17,Chicago,ChatGPT
Angelica Garcia,Doctor,Legal,4,136218,27,Boston,Claude
William Williams,Radiologist,Education,5,65892,3,San Francisco,Claude
Richard Campbell,Marketing Manager,Healthcare,5,118693,5,Boston,Scribe AI
Sandra Dickson,Nurse,Tech,1,167104,13,Boston,Claude
Kelly Roberts,Lawyer,Finance,3,159955,17,Chicago,Claude
Wayne Cole,Radiologist,Finance,2,63729,32,Chicago,MedpaLM
Jeffrey Bowers,Lawyer,Human Resources,3,152993,0,Remote,DoNotPay
James Flores,Customer Support Agent,Media & Marketing,3,57123,16,New York,Perplexity AI
Charles Rogers,Data Analyst,Healthcare,4,110453,31,Austin,Claude
Debbie Farmer,Data Analyst,Tech,1,119246,23,New York,Claude
Daniel Sanford,Doctor,Legal,2,93780,32,Remote,MedpaLM
Juan Delgado,Lawyer,Education,1,138099,13,San Francisco,Claude
Hannah Evans,Nurse,Finance,2,124444,2,Chicago,Claude
Brett Greer,Financial Analyst,Finance,1,85986,23,Chicago,None
Steven Key,Software Engineer,Healthcare,3,101137,18,Boston,ChatGPT
Jason Herrera,HR Manager,Finance,5,77590,31,Seattle,Scribe AI
Mary Davies,Financial Analyst,Human Resources,5,198125,24,Boston,ChatGPT
Scott Spears,Financial Analyst,Legal,2,151314,7,San Francisco,Perplexity AI
Kevin Alexander,Teacher,Education,2,140607,6,Chicago,Claude
John Trevino,Data Analyst,Education,5,110976,0,Chicago,ChatGPT
Joseph Hensley,Copywriter,Human Resources,5,90015,8,Austin,Writer.com
Martin Long,Teacher,Media & Marketing,2,50884,24,Austin,ChatGPT
Dr. Daniel Lawson,Radiologist,Human Resources,1,115502,16,Austin,Claude
Felicia Santiago,Paralegal,Media & Marketing,3,61694,33,Seattle,DoNotPay
Carla Anderson,Lawyer,Media & Marketing,5,71084,28,Austin,Harvey
Mrs. Dana Mills DDS,Paralegal,Media & Marketing,4,145864,17,Remote,Harvey
Amy Allen,Paralegal,Healthcare,5,102179,7,Austin,Claude
Shannon Wilcox,Copywriter,Healthcare,2,163807,4,Seattle,ChatGPT
Jack Stone,Nurse,Human Resources,3,98024,35,San Francisco,Claude
Haley Hall,Doctor,Human Resources,4,152412,16,Remote,Claude
Katherine Martinez,Radiologist,Finance,3,162584,15,Boston,Claude
Angela Burke,HR Manager,Legal,3,141475,34,Chicago,Scribe AI
Roger Patel,Financial Analyst,Media & Marketing,3,91480,14,Chicago,None
Austin Mcdaniel,Marketing Manager,Legal,4,49350,10,Chicago,ChatGPT
Katherine Quinn,HR Manager,Human Resources,5,185318,12,Austin,Writer.com
William Price,Financial Analyst,Tech,5,112660,0,San Francisco,ChatGPT
Jonathan Nelson,Software Engineer,Healthcare,5,117298,21,Boston,ChatGPT
Raymond Rogers,Paralegal,Healthcare,3,118908,26,Chicago,DoNotPay
Linda Moon,Lawyer,Finance,1,109831,21,Seattle,Claude
Russell Walton,HR Manager,Human Resources,2,125675,20,Boston,ChatGPT
Brooke Rowland,Financial Analyst,Education,2,98995,24,San Francisco,Perplexity AI
John Mora,HR Manager,Finance,4,121691,15,Boston,Writer.com
Grace Turner,Technical Recruiter,Education,4,95849,22,Remote,ChatGPT
